ID,X,Y,ELEV,DESC
389,328283.4227,2074481.251,560.8,
390,328287.0796,2074476.642,560.4,
391,328290.739,2074472.761,560.1,
392,328294.4072,2074469.62,559.6,
393,328298.7919,2074467.115,558.8,
394,328300.96,2074464.702,558.4,
395,328303.8938,2074464.5,557.8,
396,328308.2737,2074461.931,556.9,
397,328312.6736,2074460.851,555.9,
398,328319.9926,2074457.973,554.2,
399,328326.6014,2074455.137,552.3,
400,328329.5499,2074454.129,551.5,
401,328336.2129,2074453.534,549.8,
402,328339.1794,2074452.53,549,
403,328343.6501,2074452.157,547.9,
404,328347.3832,2074451.845,546.9,
405,328354.1317,2074449.877,545.5,
406,328364.7228,2074448.619,543.7,
407,328373.8293,2074448.184,542.1,
408,328376.8701,2074448.039,541.6,
409,328382.9591,2074447.746,540.8,
410,328389.0598,2074447.475,540.2,
411,328392.881,2074447.339,539.8,
412,328397.4823,2074448.689,539.4,
413,328401.3307,2074450.838,539,
414,328404.4372,2074455.343,538.9,
415,328405.9991,2074458.372,538.8,
416,328407.5682,2074462.186,538.8,
417,328409.9048,2074465.983,538.7,
418,328411.4668,2074469.028,538.7,
419,328411.5033,2074472.903,538.9,
420,328411.5468,2074477.551,539.2,
421,328411.5691,2074479.874,539.4,
422,328409.3072,2074483.787,539.7,
423,328407.7986,2074486.137,540,
424,328404.7372,2074486.21,540.3,
425,328398.6234,2074486.435,541,
426,328390.9949,2074486.723,541.8,
427,328387.9475,2074486.837,542.1,
428,328383.3675,2074486.215,542.5,
429,328380.2957,2074483.998,542.7,
430,328375.6935,2074481.059,543.1,
431,328371.114,2074479.673,543.8,
432,328366.5615,2074479.854,544.5,
433,328361.2607,2074480.083,545.3,
434,328358.9913,2074480.18,545.6,
435,328351.4567,2074482.78,546.8,
436,328347.7213,2074483.067,547.6,
437,328341.7615,2074483.536,549.2,
438,328335.8613,2074487.052,550.7,
439,328332.9265,2074489.559,551.4,
440,328327.7881,2074493.715,552.6,
441,328324.112,2074496.221,553.5,
442,328321.1776,2074498.665,554.1,
443,328318.2543,2074501.857,554.6,
444,328316.0718,2074504.998,555,
445,328313.8832,2074508.854,555.3,
446,328308.7228,2074514.286,556.1,
447,328305.778,2074518.125,556.5,
448,328302.8468,2074523.455,556.7,
449,328299.1767,2074528.811,557.1,
450,328296.9872,2074533.366,557.2,
451,328291.8489,2074540.987,558,
452,328290.3881,2074544.753,558.2,
453,328284.5237,2074550.923,558.9,
454,328278.6936,2074559.331,559.5,
455,328275.0226,2074563.895,559.8,
456,328272.7886,2074567.628,559.7,
457,328271.2878,2074570.599,559.3,
458,328269.0181,2074575.038,558.8,
459,328266.7171,2074578.71,558.3,
460,328264.4141,2074582.386,557.7,
461,328262.8533,2074586.052,557.1,
462,328260.5163,2074589.71,556.4,
463,328256.6333,2074594.842,555.4,
464,328254.3041,2074597.038,554.9,
465,328251.8962,2074600.665,554.3,
466,328249.5612,2074603.613,553.7,
467,328247.9801,2074606.558,553.2,
468,328244.853,2074610.992,552.5,
469,328244.0031,2074614.673,551.9,
470,328242.3797,2074619.104,551.2,
471,328240.8174,2074622.834,550.6,
472,328239.3097,2074627.35,549.9,
473,328238.5474,2074631.854,549.8,
474,328238.5384,2074634.1,549.8,
475,328237.7941,2074637.116,549.8,
476,328237.8,2074640.871,549.7,
477,328236.3237,2074646.161,549.8,
478,328236.3476,2074652.932,549.8,
479,328235.6813,2074661.244,549.9,
480,328235.0271,2074668.807,550,
481,328232.8932,2074675.639,550.4,
482,328232.2172,2074680.933,550.5,
483,328232.2528,2074684.702,550.5,
484,328231.5735,2074688.488,550.7,
485,328231.6455,2074693.016,550.9,
486,328231.0022,2074698.309,551.5,
487,328231.1244,2074705.096,551.9,
488,328230.4821,2074708.877,552.3,
489,328230.5978,2074714.153,552.7,
490,328230.6818,2074719.421,553,
491,328230.7487,2074731.456,552.8,
492,328230.7779,2074736.722,552.6,
493,328230.8051,2074745.001,552.4,
494,328230.8308,2074752.531,552.2,
495,328230.8511,2074758.558,551.9,
496,328230.8608,2074761.573,551.8,
497,328232.3255,2074764.584,551.3,
498,328234.5581,2074770.609,550.6,
499,328239.0239,2074776.631,549.5,
500,328242.0288,2074781.905,548.9,
501,328245.0053,2074787.193,548.4,
502,328247.9776,2074790.974,547.9,
503,328255.4062,2074796.279,546.8,
504,328263.6861,2074802.321,545.9,
505,328269.019,2074806.076,545.5,
506,328275.1291,2074811.341,545.3,
507,328281.2491,2074815.842,545,
508,328286.6052,2074819.592,544.7,
509,328290.4291,2074821.837,544.6,
510,328295.0222,2074824.834,544.4,
511,328299.6275,2074828.585,544.3,
512,328302.6885,2074830.075,544.2,
513,328305.0024,2074832.323,544.2,
514,328311.1223,2074835.306,544.1,
515,328312.6628,2074836.807,544.1,
516,328317.2733,2074840.555,544.2,
517,328323.406,2074845.058,544,
518,328327.231,2074847.308,543.7,
519,328332.5855,2074850.309,543.2,
520,328334.8651,2074850.3,543,
521,328337.1697,2074852.561,542.8,
522,328340.9895,2074854.826,542.5,
523,328345.5686,2074857.095,542.2,
524,328350.909,2074859.367,541.8,
525,328354.7133,2074859.358,541.5,
526,328357.7564,2074859.356,541.1,
527,328360.8062,2074860.889,540.8,
528,328365.3668,2074860.907,540.3,
529,328369.1702,2074860.919,539.9,
530,328372.9779,2074860.932,539.5,
531,328376.0094,2074859.425,539.2,
532,328375.9625,2074854.878,539.2,
533,328375.9306,2074851.845,539.3,
534,328372.8353,2074847.286,539.6,
535,328368.9859,2074842.715,539.9,
536,328365.1546,2074839.663,540.2,
537,328361.3173,2074836.632,540.5,
538,328357.4768,2074833.61,540.7,
539,328355.9462,2074832.856,540.8,
540,328352.1117,2074830.6,541.1,
541,328345.9812,2074827.602,541.5,
542,328342.1456,2074825.35,541.7,
543,328337.5614,2074823.091,542,
544,328329.9035,2074819.349,542.2,
545,328322.2405,2074815.614,542.4,
546,328318.405,2074813.368,542.5,
547,328313.8062,2074811.131,542.7,
548,328309.1952,2074808.138,542.8,
549,328303.8218,2074805.15,543,
550,328297.7057,2074802.921,543.2,
551,328293.8887,2074801.43,543.4,
552,328290.0717,2074799.939,543.6,
553,328286.2631,2074798.447,543.8,
554,328279.423,2074795.449,544.2,
555,328271.0681,2074791.705,544.8,
556,328266.5187,2074789.455,545.1,
557,328261.986,2074785.684,545.6,
558,328257.5107,2074782.657,546.3,
559,328253.7809,2074779.635,546.9,
560,328251.5294,2074776.615,547.3,
561,328250.0193,2074773.596,547.6,
562,328246.2846,2074768.316,548.3,
563,328244.0336,2074763.036,548.8,
564,328242.5408,2074759.266,549.2,
565,328241.0443,2074754.743,549.6,
566,328241.0193,2074750.969,549.7,
567,328240.9895,2074746.442,549.8,
568,328240.9654,2074741.159,550,
569,328240.9456,2074735.88,550.1,
570,328240.903,2074728.338,550.4,
571,328240.8673,2074721.553,550.6,
572,328242.2221,2074713.236,550,
573,328244.2555,2074701.875,549.2,
574,328247.1162,2074692.765,548.4,
575,328249.9492,2074680.622,547.9,
576,328253.5533,2074669.214,547.4,
577,328257.2003,2074660.071,546.9,
578,328258.6824,2074655.518,546.9,
579,328260.9568,2074648.716,547.2,
580,328263.9857,2074642.663,547.5,
581,328267.0899,2074635.157,548.1,
582,328273.2447,2074624.654,549.2,
583,328276.3779,2074618.711,550.3,
584,328283.5441,2074606.265,552.8,
585,328289.0333,2074593.787,555.3,
586,328290.5762,2074588.621,555.8,
587,328292.8613,2074583.445,556.2,
588,328295.0955,2074576.734,556.6,
589,328296.5612,2074572.233,556.7,
590,328299.5053,2074566.941,556.7,
591,328300.9451,2074563.878,556.5,
592,328302.3532,2074557.81,556.3,
593,328304.5229,2074553.957,555.9,
594,328309.6681,2074547.785,555,
595,328312.616,2074543.945,554.5,
596,328317.0275,2074537.787,553.7,
597,328319.2287,2074535.428,553.4,
598,328322.8965,2074530.747,552.8,
599,328330.2707,2074525.832,551.6,
600,328336.9359,2074520.975,550.3,
601,328343.5978,2074515.309,548.8,
602,328348.8122,2074513.478,547.7,
603,328351.7877,2074511.038,547.1,
604,328357.8157,2074508.576,546.4,
605,328361.5878,2074507.681,546,
606,328372.16,2074504.248,544.8,
607,328376.7069,2074503.334,544.3,
608,328381.251,2074501.651,543.7,
609,328389.5941,2074498.331,542.7,
610,328403.2707,2074492.469,540.9,
611,328409.36,2074489.223,540.1,
612,328414.713,2074488.362,539.9,
613,328421.594,2074486.698,539.5,
614,328425.4193,2074485.86,539.3,
615,328429.2456,2074485.021,539,
616,328435.3675,2074483.37,538.6,
617,328437.6681,2074483.348,538.5,
618,328441.5018,2074483.312,538.6,
619,328449.1702,2074483.234,538.7,
620,328454.5299,2074483.231,538.8,
621,328456.066,2074484.009,539,
622,328461.4355,2074486.339,539.3,
623,328466.0373,2074488.666,539.6,
624,328469.8637,2074489.441,539.8,
625,328470.6349,2074490.993,540,
626,328472.945,2074494.084,540.3,
627,328473.7361,2074497.918,540.6,
628,328473.7617,2074501.761,541,
629,328473.8038,2074508.685,541.5,
630,328473.8253,2074512.541,541.9,
631,328473.0863,2074517.173,542.3,
632,328472.3432,2074521.818,542.7,
633,328470.0604,2074524.951,543.1,
634,328467.7809,2074527.282,543.4,
635,328465.4926,2074528.082,543.6,
636,328458.6091,2074528.192,543.8,
637,328453.2703,2074529.802,544.1,
638,328447.1625,2074530.68,544.4,
639,328441.8201,2074531.547,544.7,
640,328434.9531,2074531.62,544.8,
641,328425.0338,2074531.726,544.8,
642,328416.6421,2074531.813,544.8,
643,328405.9623,2074531.894,544.8,
644,328399.8644,2074532.009,544.8,
645,328393.7707,2074532.124,544.9,
646,328389.9706,2074532.958,544.9,
647,328385.4126,2074533.805,545,
648,328383.8902,2074533.831,545,
649,328380.0842,2074533.89,545,
650,328370.9757,2074536.305,545.9,
651,328367.1819,2074537.124,546.3,
652,328361.8848,2074539.494,546.9,
653,328350.5416,2074541.292,548,
654,328343.8355,2074544.663,549.2,
655,328342.3436,2074545.482,549.4,
656,328335.6524,2074549.559,550.6,
657,328334.1853,2074552.636,550.8,
658,328331.9751,2074555.747,551.2,
659,328329.0414,2074561.143,551.7,
660,328326.8422,2074564.998,552.1,
661,328323.9154,2074569.645,552.6,
662,328321.007,2074575.051,553.1,
663,328318.855,2074581.179,553.3,
664,328318.141,2074583.47,553.4,
665,328315.1725,2074590.244,553.6,
666,328313.6796,2074591.765,553.7,
667,328312.1777,2074597.728,553.3,
668,328309.155,2074602.959,552.2,
669,328308.3471,2074605.136,551.7,
670,328305.1327,2074613.157,550,
671,328303.5579,2074616.1,549.5,
672,328298.8816,2074625.01,547.8,
673,328297.3315,2074629.497,547.2,
674,328294.2446,2074636.247,546.7,
675,328291.925,2074643.762,545.9,
676,328288.1334,2074650.585,545.2,
677,328286.6153,2074653.618,545,
678,328285.0867,2074658.152,544.5,
679,328282.8371,2074662.72,544.6,
680,328280.6076,2074665.789,544.7,
681,328279.1416,2074670.358,544.8,
682,328277.6425,2074673.402,544.8,
683,328277.6607,2074676.43,544.8,
684,328275.4307,2074680.248,544.9,
685,328273.9625,2074684.814,545,
686,328273.2353,2074687.854,545.1,
687,328272.4932,2074689.378,545.1,
688,328271.7788,2074693.932,545.1,
689,328270.3036,2074697.737,545.1,
690,328269.5613,2074703.041,545,
691,328268.0725,2074708.356,545,
692,328267.3496,2074711.396,545,
693,328267.4018,2074717.457,544.8,
694,328266.6917,2074722.01,544.7,
695,328265.9715,2074727.32,544.6,
696,328265.9941,2074731.866,544.5,
697,328266.0178,2074736.413,544.3,
698,328266.0505,2074741.718,544.1,
699,328266.0687,2074744.751,544,
700,328266.849,2074750.053,543.8,
701,328267.6169,2074753.082,543.8,
702,328269.908,2074756.857,543.7,
703,328271.4492,2074759.119,543.6,
704,328273.7465,2074762.896,543.5,
705,328275.2682,2074764.403,543.4,
706,328276.7898,2074765.911,543.3,
707,328280.5891,2074768.922,543,
708,328285.9074,2074772.687,542.6,
709,328288.9602,2074775.706,542.4,
710,328292.0001,2074777.208,542.1,
711,328296.5839,2074780.217,541.8,
712,328300.4316,2074783.222,541.8,
713,328305.0612,2074786.977,541.7,
714,328308.9041,2074789.222,541.6,
715,328311.9735,2074790.714,541.5,
716,328315.0308,2074791.45,541.3,
717,328319.637,2074793.689,541.1,
718,328322.7085,2074795.181,541,
719,328326.5434,2074796.668,541,
720,328330.3783,2074798.154,541,
721,328336.5224,2074801.138,541.1,
722,328339.5908,2074802.635,541.1,
723,328341.8968,2074804.134,541.1,
724,328345.7376,2074806.384,541.1,
725,328348.806,2074807.88,541,
726,328352.6569,2074810.887,541,
727,328355.7233,2074812.387,540.8,
728,328358.7865,2074813.893,540.6,
729,328362.621,2074816.155,540.4,
730,328364.1617,2074817.667,540.3,
731,328368.0064,2074820.69,540,
732,328372.6062,2074823.728,539.7,
733,328377.2113,2074826.768,539.4,
734,328380.2858,2074829.05,539.2,
735,328384.1259,2074831.331,538.9,
736,328387.96,2074832.855,538.5,
737,328391.0259,2074833.617,538.2,
738,328395.6319,2074835.142,537.8,
739,328398.702,2074835.901,537.5,
740,328402.5338,2074835.897,537.1,
741,328404.8346,2074835.894,536.9,
742,328407.896,2074835.126,536.6,
743,328410.1779,2074832.829,536.4,
744,328412.4468,2074828.996,536.4,
745,328412.4258,2074826.699,536.4,
