ID,X(LocalCRS),Y(LocalCRS),ELEV,DESC,X(UTM43N),Y(UTM43N)
303,200.4393,543.117,546.2,,328260.4393,2074843.117
304,193.5886,538.617,546.5,,328253.5886,2074838.617
305,190.5396,536.367,546.7,,328250.5396,2074836.367
306,183.7078,531.861,547.3,,328243.7078,2074831.861
307,179.9873,528.814,547.7,,328239.9873,2074828.814
308,177.0129,526.531,548,,328237.0129,2074826.531
309,174.0382,525.009,548.5,,328234.0382,2074825.009
310,171.0748,521.97,549.2,,328231.0748,2074821.97
311,168.11,519.694,549.8,,328228.11,2074819.694
312,165.9116,517.41,550.3,,328225.9116,2074817.41
313,164.4557,515.128,550.7,,328224.4557,2074815.128
314,163.0008,512.849,551.2,,328223.0008,2074812.849
315,160.0663,507.553,551.9,,328220.0663,2074807.553
316,158.5988,503.775,552.4,,328218.5988,2074803.775
317,156.401,499.247,553,,328216.401,2074799.247
318,154.9367,495.477,553.5,,328214.9367,2074795.477
319,153.4745,491.709,554,,328213.4745,2074791.709
320,151.2822,487.195,554.7,,328211.2822,2074787.195
321,150.5518,483.433,555,,328210.5518,2074783.433
322,149.095,479.675,555.6,,328209.095,2074779.675
323,148.3763,475.917,556.1,,328208.3763,2074775.917
324,147.6944,470.654,556.8,,328207.6944,2074770.654
325,146.3014,466.146,557.5,,328206.3014,2074766.146
326,145.6575,459.392,558.3,,328205.6575,2074759.392
327,145.6965,454.894,558.7,,328205.6965,2074754.894
328,145.6849,451.9,559,,328205.6849,2074751.9
329,144.9691,445.918,559.2,,328204.9691,2074745.918
330,144.9749,442.178,559.2,,328204.9749,2074742.178
331,144.2449,435.457,559.3,,328204.2449,2074735.457
332,144.2044,431.721,559.3,,328204.2044,2074731.721
333,144.1755,426.491,559.3,,328204.1755,2074726.491
334,144.1503,422.008,559.3,,328204.1503,2074722.008
335,144.0962,416.778,559,,328204.0962,2074716.778
336,143.8373,408.539,558.2,,328203.8373,2074708.539
337,143.7176,404.789,557.8,,328203.7176,2074704.789
338,143.5978,401.035,557.5,,328203.5978,2074701.035
339,143.5081,398.032,557.2,,328203.5081,2074698.032
340,143.3842,392.777,556.7,,328203.3842,2074692.777
341,143.2427,386.768,556.2,,328203.2427,2074686.768
342,143.1371,382.258,556.1,,328203.1371,2074682.258
343,145.1785,373.954,555.5,,328205.1785,2074673.954
344,145.8415,369.433,555.3,,328205.8415,2074669.433
345,145.8072,367.178,555.2,,328205.8072,2074667.178
346,147.9345,362.625,554.7,,328207.9345,2074662.625
347,147.8775,358.117,554.6,,328207.8775,2074658.117
348,147.8436,355.112,554.6,,328207.8436,2074655.112
349,148.5203,350.587,554.4,,328208.5203,2074650.587
350,149.2139,347.564,554.3,,328209.2139,2074647.564
351,150.6111,342.266,554.1,,328210.6111,2074642.266
352,151.3296,337.007,553.9,,328211.3296,2074637.007
353,152.7818,331.731,553.7,,328212.7818,2074631.731
354,154.2356,327.203,553.5,,328214.2356,2074627.203
355,155.6952,321.93,553.9,,328215.6952,2074621.93
356,157.2147,315.944,554.4,,328217.2147,2074615.944
357,160.2765,310.715,554.6,,328220.2765,2074610.715
358,163.3182,303.987,555.1,,328223.3182,2074603.987
359,165.6634,298.805,555.6,,328225.6634,2074598.805
360,167.2759,295.143,556.1,,328227.2759,2074595.143
361,168.8645,292.213,556.7,,328228.8645,2074592.213
362,169.7253,288.571,557.5,,328229.7253,2074588.571
363,172.0792,284.912,558.3,,328232.0792,2074584.912
364,172.8954,282.732,558.8,,328232.8954,2074582.732
365,175.2962,277.644,559.9,,328235.2962,2074577.644
366,177.6471,274.006,560.7,,328237.6471,2074574.006
367,181.5722,267.477,562.1,,328241.5722,2074567.477
368,183.1606,261.645,562.7,,328243.1606,2074561.645
369,185.4247,256.48,562.9,,328245.4247,2074556.48
370,186.8913,254.96,562.8,,328246.8913,2074554.96
371,188.3528,251.96,562.9,,328248.3528,2074551.96
372,189.8081,247.481,563,,328249.8081,2074547.481
373,192.0013,242.98,563,,328252.0013,2074542.98
374,194.9227,236.24,563,,328254.9227,2074536.24
375,196.3776,231.022,562.9,,328256.3776,2074531.022
376,197.1079,228.784,562.8,,328257.1079,2074528.784
377,198.5657,225.042,562.6,,328258.5657,2074525.042
378,202.2293,218.282,562.1,,328262.2293,2074518.282
379,202.9596,216.044,562,,328262.9596,2074516.044
380,205.1592,211.549,561.8,,328265.1592,2074511.549
381,207.365,208.53,561.6,,328267.365,2074508.53
382,208.0978,207.029,561.6,,328268.0978,2074507.029
383,210.2895,201.787,561.5,,328270.2895,2074501.787
384,212.4873,198.017,561.4,,328272.4873,2074498.017
385,213.2123,195.77,561.4,,328273.2123,2074495.77
386,216.1298,191.944,561.3,,328276.1298,2074491.944
387,217.5862,189.658,561.2,,328277.5862,2074489.658
388,220.5011,185.084,561,,328280.5011,2074485.084
389,223.4227,181.251,560.8,,328283.4227,2074481.251
390,227.0796,176.642,560.4,,328287.0796,2074476.642
391,230.739,172.761,560.1,,328290.739,2074472.761
392,234.4072,169.62,559.6,,328294.4072,2074469.62
393,238.7919,167.115,558.8,,328298.7919,2074467.115
394,240.96,164.702,558.4,,328300.96,2074464.702
395,243.8938,164.5,557.8,,328303.8938,2074464.5
396,248.2737,161.931,556.9,,328308.2737,2074461.931
397,252.6736,160.851,555.9,,328312.6736,2074460.851
398,259.9926,157.973,554.2,,328319.9926,2074457.973
399,266.6014,155.137,552.3,,328326.6014,2074455.137
400,269.5499,154.129,551.5,,328329.5499,2074454.129
401,276.2129,153.534,549.8,,328336.2129,2074453.534
402,279.1794,152.53,549,,328339.1794,2074452.53
403,283.6501,152.157,547.9,,328343.6501,2074452.157
404,287.3832,151.845,546.9,,328347.3832,2074451.845
405,294.1317,149.877,545.5,,328354.1317,2074449.877
406,304.7228,148.619,543.7,,328364.7228,2074448.619
407,313.8293,148.184,542.1,,328373.8293,2074448.184
408,316.8701,148.039,541.6,,328376.8701,2074448.039
409,322.9591,147.746,540.8,,328382.9591,2074447.746
410,329.0598,147.475,540.2,,328389.0598,2074447.475
